model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__bootstrap,days for test,Regression R^2 of train,Regression R^2 of test,Tree_precision,Tree_recall,Forest_Scoring,Forest_Precision,Forest_Recall,Forest_Target,Range,Forest_y_pred,Forest_y_test,features,A forecast for the next year
200,10,2,auto,5,False,48,0.275580836,-0.339251702,[0.         0.         0.83333333],[0. 0. 1.],f1_macro,[1.    0.    0.889],[0.5 0.  1. ],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1 -1 -1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]","['PE_RATIO', 'Fwd_PE_RATIO', '5Y_GENERIC', '1Y_GENERIC', 'PE_Yield', 'FWD_PE_minus_5Y', 'CPI_YOY', 'Expected_inflation_5Y']",[1]
747,10,1,sqrt,5,True,48,0.093398209,-0.63607631,[0.22222222 0.         0.84615385],[0.33333333 0.         0.825     ],f1_macro,[0.286 0.    0.854],[0.333 0.    0.875],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1 -1  1 -1 -1  1 -1  1  1  1 -1  1  1 -1 -1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['PE_RATIO'],[1]
494,2,1,auto,3,False,48,0.075599095,-0.609980429,[0.21428571 0.         0.88235294],[0.5  0.   0.75],f1_macro,[0.214 0.    0.882],[0.5  0.   0.75],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1 -1  1 -1 -1 -1 -1 -1 -1 -1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['Fwd_PE_RATIO'],[1]
915,5,1,auto,5,True,48,0.122504857,0.175846187,[0.         0.         0.83333333],[0. 0. 1.],f1_macro,[0.    0.    0.826],[0.   0.   0.95],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1  1  1  1  1  1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['5Y_GENERIC'],[1]
789,2,1,auto,2,True,48,0.109028778,0.023948159,[0.         0.         0.83333333],[0. 0. 1.],f1_macro,[0.    0.    0.833],[0. 0. 1.],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['1Y_GENERIC'],[1]
578,10,1,auto,3,False,48,0.104244359,-0.624182571,[0.33333333 0.         0.87179487],[0.5  0.   0.85],f1_macro,[0.333 0.    0.872],[0.5  0.   0.85],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1 -1 -1 -1 -1 -1 -1  1  1  1  1  1  1 -1 -1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['PE_Yield'],[1]
831,5,2,auto,5,False,48,0.122572965,-0.05784994,[0.         0.         0.83333333],[0. 0. 1.],f1_macro,[0.    0.    0.833],[0. 0. 1.],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['FWD_PE_minus_5Y'],[1]
621,10,2,sqrt,5,False,48,0.042448617,0.009978312,[0.         0.         0.83333333],[0. 0. 1.],f1_macro,[0.25  0.    0.841],[0.167 0.    0.925],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  1 -1  1  1  1  1
  1  1  1 -1  1  1  1  1  1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1  1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['Expected_inflation_5Y'],[1]
1000,10,4,sqrt,4,False,48,0.1271978791907632,0.034928721808069,[0.3        0.         0.89473684],[0.5  0.   0.85],f1_macro,[1.   0.   0.87],[0.333 0.    1.   ],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1 -1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]",['CPI_YOY'],[-1]
621,2,2,auto,5,True,48,0.2755808361066525,-0.3392517018785659,[0.14285714 0.         0.65853659],[1.         0.         0.93103448],f1_macro,[0.    0.    0.604],[0. 0. 1.],S&P_500_FORWARD_1_YEAR_GAIN,"(-10, 10)","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1]","[ 1  1  0  0  0  0  0  0  1  0  1  0  0  0  1  1  1  1  0  0  0  1  0  1
  1  1  0  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0 -1  0]","['PE_RATIO', 'Fwd_PE_RATIO', '5Y_GENERIC', '1Y_GENERIC', 'PE_Yield', 'FWD_PE_minus_5Y', 'CPI_YOY', 'Expected_inflation_5Y']",[1]
831,10,1,auto,6,False,48,0.2755808361066525,-0.3392517018785659,[0.         0.         0.83333333],[0. 0. 1.],f1_macro,[1.    0.    0.889],[0.5 0.  1. ],S&P_500_FORWARD_1_YEAR_GAIN,"(-0.1, 1)","[ 1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1 -1 -1]","[ 1  1  1  1 -1 -1  1  1  1  1  1  1  1  1  1  1  1  1  1 -1  0  1  1  1
  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  1  0 -1 -1 -1]","['PE_RATIO', 'Fwd_PE_RATIO', '5Y_GENERIC', '1Y_GENERIC', 'PE_Yield', 'FWD_PE_minus_5Y', 'CPI_YOY', 'Expected_inflation_5Y']",[1]
